None,ticker,date,adj_close
259,WMT,2015-12-21,56.713133678156
260,WMT,2015-12-18,56.046480553475
261,WMT,2015-12-17,56.170287562344
262,WMT,2015-12-16,57.42740488317
263,WMT,2015-12-15,56.798846222757
264,WMT,2015-12-14,57.513117427772
265,WMT,2015-12-11,56.532184972885
266,WMT,2015-12-10,56.722657294222
267,WMT,2015-12-09,56.313141803347
268,WMT,2015-12-08,56.770275374557
269,WMT,2015-12-07,57.617877204507
270,WMT,2015-12-04,56.817893454891
271,WMT,2015-12-03,56.227429258746
272,WMT,2015-12-02,55.570299750132
273,WMT,2015-12-01,55.711964348408
274,WMT,2015-11-30,55.570299750132
275,WMT,2015-11-27,56.56195193806
276,WMT,2015-11-25,56.892502667369
277,WMT,2015-11-24,56.590284857715
278,WMT,2015-11-23,56.911391280472
279,WMT,2015-11-20,56.73194945599
280,WMT,2015-11-19,57.326940768746
281,WMT,2015-11-18,57.544159819435
282,WMT,2015-11-17,56.590284857715
283,WMT,2015-11-16,54.654202014619
284,WMT,2015-11-13,53.284777564624
285,WMT,2015-11-12,53.785325811863
286,WMT,2015-11-11,54.38031712462
287,WMT,2015-11-10,55.419190845305
288,WMT,2015-11-09,55.239749020823
289,WMT,2015-11-06,55.513633910822
290,WMT,2015-11-05,55.353080699443
291,WMT,2015-11-04,55.126417342203
292,WMT,2015-11-03,54.880865371859
293,WMT,2015-11-02,54.408650044275
294,WMT,2015-10-30,54.059210701862
295,WMT,2015-10-29,54.739200773584
296,WMT,2015-10-28,54.43698296393
297,WMT,2015-10-27,54.285874059103
298,WMT,2015-10-26,54.795866612894
299,WMT,2015-10-23,55.060307196341
300,WMT,2015-10-22,55.626965589442
301,WMT,2015-10-21,55.381413619098
302,WMT,2015-10-20,55.485300991167
303,WMT,2015-10-19,55.579744056684
304,WMT,2015-10-16,55.617521282891
305,WMT,2015-10-15,56.033070771165
306,WMT,2015-10-14,56.694172229783
307,WMT,2015-10-13,63.021857619414
308,WMT,2015-10-12,63.210743750448
309,WMT,2015-10-09,62.984080393207
310,WMT,2015-10-08,63.163522217689
311,WMT,2015-10-07,62.672418277002
312,WMT,2015-10-06,62.030205431487
